Date,Open,High,Low,Close,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Volume,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-Apr-22,69574.9,71438.55,69486.85,71271.25,70611.76065,493,319,34811598,202,40.97,1951.7,1696.35
27-Apr-22,70800,72590,70250,72185.25,71705.37967,482,319,34561993,187,38.8,2340,1385.25
28-Apr-22,72500,72544.6,71023.45,72366.1,71885.48317,416,246,29904361,236,56.73,1521.15,-133.9
29-Apr-22,72264.7,73317.5,71800,72688.6,72635.58037,591,431,42927628,376,63.62,1517.5,423.9
02-May-22,72400,72769.95,71784,72619.4,72237.37123,431,289,31134307,256,59.4,985.95,219.4
04-May-22,72750,73000.4,71232.45,71815.15,72565.01501,5596,346,406073824,5414,96.75,1767.95,-934.85
05-May-22,72599.95,72714.45,70950,71124.8,71619.62585,147,128,10528085,49,33.33,1764.45,-1475.15
06-May-22,70952,70952,69351.05,70065.5,69979.31535,241,176,16865015,76,31.54,1600.95,-886.5
09-May-22,69500,69774.95,68361,68579.35,68935.16038,318,240,21921381,101,31.76,1413.95,-920.65
10-May-22,68560,70895.95,67321.15,68673.95,69254.41488,699,528,48408836,153,21.89,3574.8,113.95
11-May-22,68100,69233.5,67885.05,68119.55,68512.89547,287,208,19663201,78,27.18,1348.45,19.55
12-May-22,68070,68070,66685.1,67585.15,67448.95782,403,309,27181930,145,35.98,1384.9,-484.85
13-May-22,67600,73141.75,67600,72000.3,71474.63804,1083,725,77407033,410,37.86,5541.75,4400.3
16-May-22,72000,73200,70590.15,72587.75,72432.7038,395,309,28610918,148,37.47,2609.85,587.75
17-May-22,72600,74200,72560.2,73983.25,73500.2679,754,571,55419202,570,75.6,1639.8,1383.25
18-May-22,74000,74735,73793.55,74575.15,74328.69059,404,240,30028791,113,27.97,941.45,575.15
19-May-22,73000.55,74216.5,73000.55,73488.1,73718.44231,156,126,11500077,61,39.1,1215.95,487.55
20-May-22,73750,74648.2,73275.15,74067.6,74147.54327,624,348,46268067,478,76.6,1373.05,317.6
23-May-22,74767.6,75075.4,73102.6,73366.15,74583.9899,198,129,14767630,41,20.71,1972.8,-1401.45
24-May-22,74649.7,74649.7,73138.3,74337.15,74018.14618,301,171,22279462,165,54.82,1511.4,-312.55
25-May-22,74569.35,75372.35,73554.9,74818.1,74293.47399,173,146,12852771,61,35.26,1817.45,248.75
26-May-22,74975,75285.45,73674.45,75051.6,74512.8716,257,196,19149808,75,29.18,1611,76.6
27-May-22,75500,75649.95,74300,74679.15,75076.4491,167,128,12537767,54,32.34,1349.95,-820.85
30-May-22,75300,75750,75032.9,75348.2,75314.16028,287,229,21615164,202,70.38,717.1,48.2
31-May-22,75350,78138.5,75350,77656.85,76533.27143,350,271,26786645,157,44.86,2788.5,2306.85
01-Jun-22,77184.6,77500,76001,76291.5,76917.99241,395,310,30382607,200,50.63,1499,-893.1
