index,Date,Open,High,Low,Close,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Volume,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1464,02-Dec-21,74299.0,74299.0,73250.0,73895.8,73745.05473,603,425,44468268,211,34.99,1049.0,-403.2
1465,03-Dec-21,74237.45,74700.0,73772.25,73938.65,74245.81733,531,366,39424529,236,44.44,927.75,-298.8
1466,06-Dec-21,73801.0,74056.2,73000.0,73260.75,73494.37888,483,353,35497785,189,39.13,1056.2,-540.25
1467,07-Dec-21,73300.05,73882.0,73300.05,73593.35,73657.36697,218,169,16057306,91,41.74,581.95,293.3
1468,08-Dec-21,73800.0,75199.0,73800.0,74664.6,74598.60284,282,217,21036806,92,32.62,1399.0,864.6
1469,09-Dec-21,75080.0,75339.2,74150.0,74644.2,74541.32982,285,226,21244279,111,38.95,1189.2,-435.8
1470,10-Dec-21,74668.55,74950.0,74012.15,74270.65,74348.71579,285,167,21189384,112,39.3,937.85,-397.9
1471,13-Dec-21,74500.0,75100.0,73650.8,73819.75,74339.75154,487,334,36203459,224,46.0,1449.2,-680.25
1472,14-Dec-21,73280.05,74199.8,73280.05,74055.0,73936.01818,220,171,16265924,113,51.36,919.75,774.95
1473,15-Dec-21,74189.95,74500.0,73820.0,73951.5,74087.07471,174,118,12891151,63,36.21,680.0,-238.45
1474,16-Dec-21,74337.3,74382.0,73165.0,73335.2,73537.42623,244,173,17943132,110,45.08,1217.0,-1002.1
1475,17-Dec-21,73780.0,73780.0,72102.35,72560.0,72579.20677,532,420,38612138,245,46.05,1677.65,-1220.0
1476,20-Dec-21,72599.0,72599.0,68719.9,69973.7,69748.19394,1418,1106,98902939,788,55.57,3879.1,-2625.3
1477,21-Dec-21,70840.0,71157.6,69954.85,70454.55,70573.08704,540,417,38109467,166,30.74,1202.75,-385.45
1478,22-Dec-21,70550.0,71280.2,70320.15,70535.6,70820.79866,298,229,21104598,101,33.89,960.05,-14.4
1479,23-Dec-21,71079.95,71400.4,70750.05,71040.6,71035.46083,217,162,15414695,57,26.27,650.35,-39.35
1480,24-Dec-21,71350.0,71392.1,69930.0,70056.0,70223.96781,497,335,34901312,276,55.53,1462.1,-1294.0
1481,27-Dec-21,70091.4,70692.1,69300.0,70469.7,70108.40409,391,252,27412386,177,45.27,1392.1,378.3
1482,28-Dec-21,70750.0,71994.8,70683.15,71579.05,71272.6895,219,170,15608719,89,40.64,1311.65,829.05
1483,29-Dec-21,71197.1,72678.85,71197.1,72569.5,72097.28674,279,215,20115143,91,32.62,1481.75,1372.4
1484,30-Dec-21,72782.9,72782.9,71889.9,72139.95,72405.4505,202,185,14625901,103,50.99,893.0,-642.95
1485,31-Dec-21,72394.0,73699.95,72224.6,73293.55,73060.39286,476,379,34776747,295,61.97,1475.35,899.55
1486,03-Jan-22,73500.0,73943.1,73089.1,73374.0,73572.42929,198,153,14567341,78,39.39,854.0,-126.0
1487,04-Jan-22,73937.95,73998.0,73351.0,73929.0,73780.52449,490,374,36152457,213,43.47,647.0,-8.95
1488,05-Jan-22,74100.0,74400.0,73774.75,74030.15,74100.20915,153,119,11337332,60,39.22,625.25,-69.85
1489,06-Jan-22,74150.0,74385.25,73209.9,74133.65,73849.68639,169,135,12480597,44,26.04,1175.35,-16.35
1490,07-Jan-22,74449.95,74633.5,73560.9,74186.75,74086.2549,153,116,11335197,51,33.33,1072.6,-263.2
1491,10-Jan-22,74439.05,74950.0,74136.75,74288.35,74484.7644,191,133,14226590,86,45.03,813.25,-150.7
1492,11-Jan-22,74424.95,74469.9,73900.1,74273.35,74149.05405,333,238,24691635,160,48.05,569.8,-151.6
1493,12-Jan-22,74425.0,75484.85,74315.0,75254.1,75012.86256,211,156,15827714,135,63.98,1169.85,829.1
1494,13-Jan-22,75533.35,76380.5,74987.8,75975.15,75743.66114,422,331,31963825,173,41.0,1392.7,441.8
1495,14-Jan-22,75790.55,76250.0,75351.2,76130.3,75880.36073,219,143,16617799,82,37.44,898.8,339.75
1496,17-Jan-22,75857.85,77193.6,75857.85,76853.4,76666.80723,249,178,19090035,107,42.97,1335.75,995.55
1497,18-Jan-22,76810.0,77255.75,76132.55,76325.7,76778.7978,455,345,34934353,262,57.58,1123.2,-484.3
1498,19-Jan-22,76224.0,76724.0,75565.1,76547.05,76038.07664,274,225,20834433,173,63.14,1158.9,323.05
1499,20-Jan-22,75898.1,75966.05,73539.65,73787.3,74064.51209,910,655,67398706,416,45.71,2426.4,-2110.8
1500,21-Jan-22,73481.95,74700.0,72006.25,72727.85,73365.7818,802,588,58839357,269,33.54,2693.75,-754.1
1501,24-Jan-22,72850.0,72850.0,70007.0,71103.25,71162.81041,749,530,53300945,253,33.78,2843.0,-1746.75
1502,25-Jan-22,71339.65,72299.8,69900.0,70577.2,70976.75732,820,609,58200941,257,31.34,2399.8,-762.45
1503,27-Jan-22,70500.0,71000.0,69500.0,70708.95,70144.47511,663,522,46505787,283,42.68,1500.0,208.95
1504,28-Jan-22,71030.0,72819.9,71030.0,71385.45,71995.2803,264,215,19006754,95,35.98,1789.9,355.45
1505,31-Jan-22,71985.45,72460.0,71348.7,72181.5,72048.89443,341,299,24568673,140,41.06,1111.3,196.05
1506,01-Feb-22,72746.95,72746.95,71288.75,71506.9,71900.14189,444,356,31923663,149,33.56,1458.2,-1240.05
1507,02-Feb-22,71899.95,72679.1,71234.0,71521.55,71778.2827,237,190,17011453,102,43.04,1445.1,-378.4
1508,03-Feb-22,70499.95,71931.05,70010.0,70993.4,71165.80892,785,589,55865160,172,21.91,1921.05,493.45
1509,04-Feb-22,71000.0,71403.5,69850.0,70052.25,70316.11494,696,554,48940016,354,50.86,1553.5,-947.75
1510,07-Feb-22,70191.0,70269.1,68634.8,68905.6,69302.83453,979,775,67847475,479,48.93,1634.3,-1285.4
1511,08-Feb-22,69010.1,69886.75,68500.0,69548.8,69260.42857,644,518,44603716,216,33.54,1386.75,538.7
1512,09-Feb-22,70046.95,70500.0,69530.15,70405.6,70127.70909,440,356,30856192,191,43.41,969.85,358.65
1513,10-Feb-22,70500.0,70899.95,69520.1,69785.3,69986.89157,249,212,17426736,82,32.93,1379.85,-714.7
1514,11-Feb-22,69125.0,69600.0,68100.0,68265.65,68706.62423,809,697,55583659,434,53.65,1500.0,-859.35
1515,14-Feb-22,67850.0,67850.0,65700.5,65937.65,66293.0383,1462,1147,96920422,638,43.64,2149.5,-1912.35
1516,15-Feb-22,66120.0,66990.75,65005.15,66672.25,66045.57853,885,758,58450337,263,29.72,1985.6,552.25
1517,16-Feb-22,67646.95,67646.95,66001.2,66110.8,66609.35049,408,338,27176615,196,48.04,1645.75,-1536.15
1518,17-Feb-22,66100.0,66678.2,65500.0,65648.3,65862.37025,316,284,20812509,131,41.46,1178.2,-451.7
1519,18-Feb-22,65477.0,66200.0,65329.1,65612.5,65572.33842,393,347,25769929,168,42.75,870.9,135.5
1520,21-Feb-22,65210.15,65469.95,64600.0,64752.8,64991.74854,342,304,22227178,123,35.96,869.95,-457.35
1521,22-Feb-22,63400.0,65972.4,63000.05,65778.9,64680.14978,908,700,58729576,386,42.51,2972.35,2378.9
