Balance,step,profit,net_worth
0.2749956438295422,86,-3608.1695648349123,96391.83043516509
0.2749956438295422,87,-3539.8378069460596,96460.16219305394
0.2749956438295422,88,-4043.0635473986476,95956.93645260135
0.2749956438295422,89,-5901.345539087051,94098.65446091295
0.2749956438295422,90,-5539.862409446476,94460.13759055352
0.2749956438295422,91,-4978.321739642619,95021.67826035738
0.2749956438295422,92,-4752.002280610861,95247.99771938914
0.2749956438295422,93,-5000.860311974291,94999.13968802571
72234.43458964748,94,-4304.550011540152,95695.44998845985
72234.43458964748,95,-4441.624517134842,95558.37548286516
71815.20722649874,96,-4733.485748731153,95266.51425126885
71815.20722649874,97,-5119.671555217617,94880.32844478238
34299.429402810245,98,-4949.265607100475,95050.73439289953
34299.429402810245,99,-5256.039501994528,94743.96049800547
34299.429402810245,100,-5068.398941957741,94931.60105804226
34299.429402810245,101,-4312.825080758426,95687.17491924157
34299.429402810245,102,-3753.0914382608025,96246.9085617392
34299.429402810245,103,-2571.831294838703,97428.1687051613
34299.429402810245,104,-1806.9617542871274,98193.03824571287
32947.68471447032,105,-813.3477169336547,99186.65228306635
32947.68471447032,106,-1226.9886114420951,98773.0113885579
31023.2130259856,107,-1319.511393319408,98680.48860668059
31023.2130259856,108,-2200.7028967144433,97799.29710328556
20327.979225964547,109,-2321.701764831014,97678.29823516899
20327.979225964547,110,-3024.363206324735,96975.63679367526
13295.006377718262,111,-2446.011510318247,97553.98848968175
6250.999804976893,112,-2465.5382880934485,97534.46171190655
41924.2667387185,113,-2815.5490646847175,97184.45093531528
41924.2667387185,114,-2859.851569201259,97140.14843079874
41924.2667387185,115,-3638.494483930481,96361.50551606952
0.0,116,-3686.873306575784,96313.12669342422
0.0,117,-2325.326051968077,97674.67394803192
0.0,118,-2034.1824491343577,97965.81755086564
50085.42930050617,119,-2423.841656416509,97576.15834358349
50085.42930050617,120,-1756.7107889122562,98243.28921108774
4030.399657557231,121,-1336.0576258886722,98663.94237411133
4030.399657557231,122,-3244.1818061123195,96755.81819388768
4030.399657557231,123,-3780.637967738585,96219.36203226142
4030.399657557231,124,-4303.069554653717,95696.93044534628
3264.3363564472334,125,-3866.1784649807378,96133.82153501926
0.0,126,-3561.797013068295,96438.2029869317
0.0,127,-4553.587138228337,95446.41286177166
0.0,128,-2594.500752736276,97405.49924726372
0.0,129,-752.0895557766489,99247.91044422335
0.0,130,4269.273854122424,104269.27385412242
0.0,131,3586.818615729353,103586.81861572935
0.0,132,4057.552790695074,104057.55279069507
0.0,133,4225.007408632213,104225.00740863221
0.0,134,3436.051354436626,103436.05135443663
0.0,135,1677.868361959714,101677.86836195971
0.0,136,394.8747186221299,100394.87471862213
0.0,137,123.55159746705613,100123.55159746706
0.0,138,-1883.9623215065221,98116.03767849348
0.0,139,-2532.7454849307687,97467.25451506923
0.0,140,-3302.444412362107,96697.5555876379
0.0,141,-3395.0496997769806,96604.95030022302
0.0,142,-4290.492114872497,95709.5078851275
0.0,143,-6133.220336237719,93866.77966376228
0.0,144,-4993.669865507822,95006.33013449218
0.0,145,-4711.128787454494,95288.8712125455
0.0,146,-5030.7031357194355,94969.29686428056
0.0,147,-5201.179013209403,94798.8209867906
0.0,148,-4530.335508919554,95469.66449108045
0.0,149,-4763.103511412512,95236.89648858749
0.0,150,-4715.001624435477,95284.99837556452
0.0,151,-4814.867475984924,95185.13252401508
0.0,152,-5648.406832964887,94351.59316703511
0.0,153,-4897.301250444158,95102.69874955584
0.0,154,-4994.654916446452,95005.34508355355
